subjID	trial	choice	gain	loss
0	197	3	0	0
0	198	3	1	0
0	199	3	0	-1
0	200	3	1	0
0	201	3	0	-1
0	202	3	0	0
0	203	3	0	0
0	204	3	0	0
0	205	3	0	0
0	206	3	0	0
0	207	3	1	0
0	208	3	0	0
0	209	3	0	0
0	210	3	1	0
0	211	3	0	0
0	212	3	0	0
0	213	3	0	0
0	214	3	0	-1
0	215	3	0	0
0	216	3	0	0
0	217	3	0	0
0	218	3	0	0
0	219	3	0	0
0	220	3	0	0
0	221	3	0	-1
0	222	3	0	0
0	223	3	0	0
0	224	3	0	0
0	225	3	0	0
0	226	3	0	0
0	227	3	1	0
0	228	3	0	0
0	229	3	0	0
0	230	3	0	0
0	231	3	0	0
0	232	3	0	0
0	233	3	0	0
0	234	3	0	-1
0	235	3	0	0
0	236	3	0	0
0	237	3	0	0
0	238	3	0	-1
0	239	2	0	-1
1	0	2	0	0
1	1	1	1	0
1	2	2	0	0
1	3	1	1	0
1	4	1	1	0
1	5	1	1	0
1	6	1	1	0
1	7	1	1	-1
1	8	1	1	0
1	9	1	0	0
1	10	2	1	0
1	11	2	0	0
1	12	3	0	0
1	13	3	0	0
1	14	3	0	0
1	15	3	0	0
1	16	3	0	0
1	17	3	0	-1
1	18	2	0	-1
1	19	1	0	-1
1	20	1	0	0
1	21	1	0	-1
1	22	1	0	0
1	23	1	1	0
1	24	1	1	0
1	25	1	0	0
1	26	1	0	0
1	27	1	1	0
1	28	1	0	0
1	29	1	1	0
1	30	1	0	0
1	31	1	0	0
1	32	1	0	0
1	33	1	0	0
1	34	1	0	0
1	35	1	0	0
1	36	1	0	0
1	37	1	0	-1
1	38	1	0	0
1	39	1	0	0
1	40	1	0	0
1	41	1	0	-1
1	42	2	1	0
1	43	2	0	0
1	44	2	0	-1
1	45	2	0	-1
1	46	2	1	0
1	47	2	0	0
1	48	2	0	0
1	49	2	0	-1
1	50	2	0	-1
1	51	2	0	0
1	52	2	0	-1
1	53	2	0	0
1	54	2	0	-1
1	55	2	0	-1
1	56	2	0	0
1	57	2	0	-1
1	58	2	0	-1
1	59	2	0	0
1	60	2	0	-1
1	61	3	1	0
1	62	2	0	0
1	63	2	0	0
1	64	2	0	0
1	65	2	0	0
1	66	2	0	0
1	67	2	0	0
1	68	2	0	0
1	69	2	0	-1
1	70	2	0	0
1	71	2	0	-1
1	72	2	0	0
1	73	2	0	0
1	74	2	0	0
1	75	2	0	0
1	76	2	0	-1
1	77	2	0	-1
1	78	2	0	0
1	79	2	0	0
1	80	2	0	0
1	81	2	0	0
1	82	2	0	0
1	83	2	0	0
1	84	2	0	0
1	85	2	0	0
1	86	2	1	0
1	87	2	0	0
1	88	2	1	0
1	89	2	0	0
1	90	2	1	0
1	91	2	0	0
1	92	2	0	0
1	93	2	0	0
1	94	2	0	0
1	95	2	0	0
1	96	2	0	0
1	97	2	0	0
1	98	2	0	0
1	99	2	1	0
1	100	2	0	0
1	101	2	1	0
1	102	2	0	0
1	103	2	0	0
1	104	2	1	0
1	105	2	1	0
1	106	2	0	0
1	107	2	0	0
1	108	2	0	0
1	109	2	0	0
1	110	2	0	0
1	111	2	0	0
1	112	2	0	0
1	113	2	0	0
1	114	2	0	0
1	115	2	0	0
1	116	2	0	0
1	117	2	0	0
1	118	2	0	0
1	119	2	0	0
1	120	2	1	0
1	121	2	0	0
1	122	2	0	-1
1	123	2	0	-1
1	124	1	0	-1
1	125	2	0	0
1	126	2	0	0
1	127	2	0	0
1	128	2	0	0
1	129	2	0	0
1	130	2	0	-1
1	131	2	0	-1
1	132	2	0	0
1	133	2	0	0
1	134	2	0	-1
1	135	2	1	-1
1	136	2	0	0
1	137	2	0	0
1	138	2	0	0
1	139	2	0	0
1	140	2	0	-1
1	141	2	0	0
1	142	2	0	0
1	143	2	0	0
1	144	2	0	0
1	145	2	0	0
1	146	2	0	0
1	147	2	0	0
1	148	2	0	0
1	149	2	0	-1
1	150	2	0	0
1	151	2	1	0
1	152	2	1	0
1	153	2	1	0
1	154	2	0	0
1	155	2	0	0
1	156	2	1	0
1	157	2	1	0
1	158	2	0	0
1	159	3	0	-1
1	160	2	0	0
1	161	2	0	0
1	162	2	1	-1
1	163	2	0	0
1	164	2	1	0
1	165	2	0	-1
1	166	1	0	0
1	167	2	0	-1
1	168	2	0	-1
1	169	2	0	0
1	170	2	0	0
1	171	2	1	0
1	172	2	1	0
1	173	2	0	0
1	174	2	0	0
1	175	2	0	0
1	176	2	0	0
1	177	2	0	0
1	178	2	0	0
1	179	2	0	-1
1	180	2	0	0
1	181	2	0	0
1	182	2	0	0
1	183	2	0	0
1	184	2	0	-1
1	185	2	0	0
1	186	2	0	-1
1	187	2	0	-1
1	188	2	0	0
1	189	2	0	0
1	190	2	0	0
1	191	2	0	0
1	192	2	0	0
1	193	2	0	0
1	194	2	0	0
1	195	2	0	0
1	196	2	0	-1
1	197	2	1	0
1	198	2	0	-1
1	199	2	0	0
1	200	2	0	0
1	201	2	0	0
1	202	2	0	0
1	203	2	0	0
1	204	2	0	0
1	205	2	0	-1
1	206	2	0	0
1	207	2	0	0
1	208	2	0	0
1	209	2	0	0
1	210	2	0	0
1	211	2	0	0
1	212	2	0	-1
1	213	3	1	0
1	214	2	0	0
1	215	3	0	0
1	216	2	0	0
1	217	2	0	-1
1	218	2	0	0
1	219	2	0	-1
1	220	2	0	-1
1	221	2	0	-1
1	222	3	0	0
1	223	3	0	0
1	224	2	0	0
1	225	3	0	0
1	226	3	0	0
1	227	2	0	-1
1	228	2	0	-1
1	229	2	0	0
1	230	1	0	0
1	231	2	0	-1
1	232	2	0	0
1	233	2	0	0
1	234	2	0	-1
1	235	2	0	0
1	236	2	1	0
1	237	2	1	-1
1	238	2	1	0
1	239	2	0	0
2	0	2	0	0
2	1	1	1	0
2	2	1	0	0
2	3	1	0	-1
2	4	3	0	0
2	5	2	0	0
2	6	2	0	0
2	7	3	0	0
2	8	3	0	0
2	9	2	0	0
2	10	2	0	0
2	11	3	1	0
2	12	3	1	0
2	13	3	0	0
2	14	2	0	0
2	15	2	1	0
2	16	2	1	0
2	17	2	0	0
2	18	2	0	0
2	19	2	0	0
2	20	2	1	-1
2	21	2	1	0
2	22	2	0	0
2	23	2	0	0
2	24	2	0	0
2	25	2	0	0
2	26	2	0	0
2	27	2	0	-1
2	28	2	0	0
2	29	2	0	-1
2	30	2	1	0
2	31	1	0	-1
2	32	2	0	0
2	33	2	1	0
2	34	2	1	0
2	35	2	1	0
2	36	2	1	0
2	37	2	0	0
2	38	2	0	-1
2	39	2	0	0
2	40	2	0	0
2	41	2	0	0
2	42	2	1	0
2	43	2	0	0
2	44	2	0	-1
2	45	2	1	-1
2	46	3	0	0
2	47	3	0	0
2	48	2	0	-1
2	49	3	0	0
2	50	1	0	0
2	51	3	0	0
2	52	3	1	0
2	53	3	1	0
2	54	3	0	0
2	55	1	0	0
2	56	1	0	-1
2	57	3	1	0
2	58	3	1	0
2	59	3	0	0
2	60	3	0	0
2	61	3	1	0
2	62	3	1	0
2	63	3	0	0
2	64	3	1	0
2	65	3	0	0
2	66	3	1	0
2	67	3	0	0
2	68	3	0	0
2	69	3	0	0
2	70	3	0	0
2	71	3	1	0
2	72	3	1	0
2	73	3	0	0
2	74	3	0	0
2	75	3	0	0
2	76	3	0	0
2	77	3	0	0
2	78	3	0	0
2	79	3	1	-1
2	80	3	1	0
2	81	3	0	0
2	82	3	1	0
2	83	3	0	-1
2	84	3	1	0
2	85	3	0	0
2	86	3	0	0
2	87	3	1	0
2	88	3	0	0
2	89	3	0	0
2	90	3	0	-1
2	91	3	0	0
2	92	3	0	0
2	93	3	0	0
2	94	3	0	0
2	95	3	1	0
2	96	3	0	-1
2	97	3	0	0
2	98	3	0	0
2	99	3	0	-1
2	100	3	0	0
2	101	3	0	0
2	102	2	0	0
2	103	2	0	-1
2	104	3	0	0
2	105	3	0	0
2	106	2	0	0
2	107	2	0	0
2	108	3	1	0
2	109	3	0	0
2	110	3	1	0
2	111	3	1	-1
2	112	3	0	0
2	113	3	0	0
2	114	3	0	-1
2	115	2	0	0
2	116	2	0	-1
2	117	2	0	-1
2	118	2	1	0
2	119	2	0	0
2	120	2	0	0
2	121	2	0	0
2	122	2	0	0
2	123	2	0	0
2	124	2	0	-1
2	125	2	0	-1
2	126	2	0	-1
2	127	2	0	0
2	128	2	0	-1
2	129	2	0	-1
2	130	2	0	-1
2	131	2	0	0
2	132	2	0	-1
2	133	2	0	-1
2	134	2	0	-1
2	135	2	0	0
2	136	2	0	0
2	137	2	0	-1
2	138	2	0	0
2	139	2	0	0
2	140	2	0	0
2	141	2	0	0
2	142	2	0	-1
2	143	2	1	0
2	144	2	0	0
2	145	2	0	0
2	146	2	0	-1
2	147	3	0	0
2	148	2	0	0
2	149	3	0	-1
2	150	2	0	-1
2	151	2	0	0
2	152	2	0	0
2	153	2	0	0
2	154	2	1	0
2	155	2	0	0
2	156	2	1	0
2	157	2	0	0
2	158	2	0	-1
2	159	2	1	0
2	160	2	0	0
2	161	2	1	0
2	162	2	0	0
2	163	3	0	0
2	164	3	0	0
2	165	3	0	0
2	166	3	1	0
2	167	3	1	-1
2	168	3	0	0
2	169	3	0	0
2	170	3	1	-1
2	171	3	0	-1
2	172	2	0	0
2	173	2	0	0
2	174	2	0	0
2	175	2	0	0
2	176	3	0	0
2	177	3	1	-1
2	178	3	0	-1
2	179	2	0	0
2	180	2	0	0
2	181	2	0	0
2	182	2	1	0
2	183	2	0	-1
2	184	2	0	0
2	185	2	1	0
2	186	2	0	-1
2	187	2	0	0
2	188	2	0	0
2	189	2	0	0
2	190	2	0	-1
2	191	3	0	0
2	192	3	0	0
2	193	3	0	0
2	194	3	1	0
2	195	3	1	0
2	196	1	1	0
2	197	3	1	-1
2	198	2	0	0
2	199	3	0	0
2	200	3	0	0
2	201	2	0	0
2	202	3	1	0
2	203	3	0	0
2	204	3	0	0
2	205	1	0	0
2	206	2	0	0
2	207	2	0	0
2	208	2	0	0
2	209	3	0	0
2	210	3	0	0
2	211	2	0	0
2	212	2	0	0
2	213	2	0	0
2	214	2	1	0
2	215	2	0	0
2	216	3	0	0
2	217	3	0	0
2	218	3	0	-1
2	219	2	0	0
2	220	2	0	0
2	221	2	0	0
2	222	2	0	0
2	223	2	0	0
2	224	2	0	0
2	225	2	0	-1
2	226	2	0	-1
2	227	2	0	0
2	228	2	0	0
2	229	2	0	0
2	230	2	0	0
2	231	2	0	0
2	232	1	0	0
2	233	2	0	0
2	234	2	0	0
2	235	2	0	0
2	236	2	0	0
2	237	2	0	0
2	238	2	0	0
2	239	2	0	0
